Valeurs,Erreur de mesure
3.76,0.005
3.65,0.05
3.785,0.005
3.76,0.005
3.5,0.5
3.8,0.05
3.765,0.005
3.78,0.01
3.75,0.01
3.77,0.01
3.775,0.005
3.75,0.25
